R,xF,F_mol_s,xD,Qreb_kW
0.8,0.2,27.77777777777778,0.506215,891.026
0.8,0.239474,27.77777777777778,0.559365,898.859
0.8,0.278947,27.77777777777778,0.604117,906.811
0.8,0.318421,27.77777777777778,0.642199,914.868
0.8,0.357895,27.77777777777778,0.674904,923.024
0.8,0.397368,27.77777777777778,0.703218,931.27
0.8,0.436842,27.77777777777778,0.727903,939.6
0.8,0.476316,27.77777777777778,0.749561,948.011
0.8,0.515789,27.77777777777778,0.768672,956.487
0.8,0.555263,27.77777777777778,0.785623,965.026
0.8,0.594737,27.77777777777778,0.80073,973.623
0.8,0.634211,27.77777777777778,0.814252,982.275
0.8,0.673684,27.77777777777778,0.826406,990.975
0.8,0.713158,27.77777777777778,0.837371,999.721
0.8,0.752632,27.77777777777778,0.847298,1008.51
0.8,0.792105,27.77777777777778,0.856314,1017.34
0.8,0.831579,27.77777777777778,0.864529,1026.2
0.8,0.871053,27.77777777777778,0.872036,1035.09
0.8,0.910526,27.77777777777778,0.878914,1044.01
0.8,0.95,27.77777777777778,0.885231,1052.96
1.02105,0.2,27.77777777777778,0.532672,935.765
1.02105,0.239474,27.77777777777778,0.587294,942.97
1.02105,0.278947,27.77777777777778,0.632961,950.291
1.02105,0.318421,27.77777777777778,0.671555,957.719
1.02105,0.357895,27.77777777777778,0.704475,965.247
1.02105,0.397368,27.77777777777778,0.732783,972.869
1.02105,0.436842,27.77777777777778,0.7573,980.576
1.02105,0.476316,27.77777777777778,0.778668,988.362
1.02105,0.515789,27.77777777777778,0.797398,996.221
1.02105,0.555263,27.77777777777778,0.813902,1004.15
1.02105,0.594737,27.77777777777778,0.828514,1012.13
1.02105,0.634211,27.77777777777778,0.841508,1020.17
1.02105,0.673684,27.77777777777778,0.85311,1028.27
1.02105,0.713158,27.77777777777778,0.863508,1036.41
1.02105,0.752632,27.77777777777778,0.87286,1044.59
1.02105,0.792105,27.77777777777778,0.881298,1052.81
1.02105,0.831579,27.77777777777778,0.888936,1061.07
1.02105,0.871053,27.77777777777778,0.895869,1069.36
1.02105,0.910526,27.77777777777778,0.902179,1077.67
1.02105,0.95,27.77777777777778,0.907937,1086.02
1.24211,0.2,27.77777777777778,0.559078,975.201
1.24211,0.239474,27.77777777777778,0.61516,981.846
1.24211,0.278947,27.77777777777778,0.661732,988.609
1.24211,0.318421,27.77777777777778,0.700827,995.481
1.24211,0.357895,27.77777777777778,0.733952,1002.46
1.24211,0.397368,27.77777777777778,0.762245,1009.53
1.24211,0.436842,27.77777777777778,0.786581,1016.68
1.24211,0.476316,27.77777777777778,0.807643,1023.92
1.24211,0.515789,27.77777777777778,0.825975,1031.24
1.24211,0.555263,27.77777777777778,0.84201,1038.62
1.24211,0.594737,27.77777777777778,0.856101,1046.07
1.24211,0.634211,27.77777777777778,0.868535,1053.57
1.24211,0.673684,27.77777777777778,0.879549,1061.13
1.24211,0.713158,27.77777777777778,0.889339,1068.73
1.24211,0.752632,27.77777777777778,0.89807,1076.38
1.24211,0.792105,27.77777777777778,0.905879,1084.07
1.24211,0.831579,27.77777777777778,0.912884,1091.79
1.24211,0.871053,27.77777777777778,0.919184,1099.55
1.24211,0.910526,27.77777777777778,0.924864,1107.34
1.24211,0.95,27.77777777777778,0.929998,1115.16
1.46316,0.2,27.77777777777778,0.585428,1010.22
1.46316,0.239474,27.77777777777778,0.642956,1016.36
1.46316,0.278947,27.77777777777778,0.690418,1022.63
1.46316,0.318421,27.77777777777778,0.729999,1029.01
1.46316,0.357895,27.77777777777778,0.763309,1035.49
1.46316,0.397368,27.77777777777778,0.791562,1042.07
1.46316,0.436842,27.77777777777778,0.815684,1048.74
1.46316,0.476316,27.77777777777778,0.8364,1055.5
1.46316,0.515789,27.77777777777778,0.854281,1062.33
1.46316,0.555263,27.77777777777778,0.869784,1069.23
1.46316,0.594737,27.77777777777778,0.883276,1076.2
1.46316,0.634211,27.77777777777778,0.895059,1083.22
1.46316,0.673684,27.77777777777778,0.90538,1090.3
1.46316,0.713158,27.77777777777778,0.914445,1097.43
1.46316,0.752632,27.77777777777778,0.922425,1104.61
1.46316,0.792105,27.77777777777778,0.929466,1111.82
1.46316,0.831579,27.77777777777778,0.935692,1119.08
1.46316,0.871053,27.77777777777778,0.941207,1126.37
1.46316,0.910526,27.77777777777778,0.946101,1133.69
1.46316,0.95,27.77777777777778,0.950454,1141.04
1.68421,0.2,27.77777777777778,0.611718,1041.52
1.68421,0.239474,27.77777777777778,0.670671,1047.22
1.68421,0.278947,27.77777777777778,0.719002,1053.04
1.68421,0.318421,27.77777777777778,0.75904,1058.97
1.68421,0.357895,27.77777777777778,0.792497,1065.01
1.68421,0.397368,27.77777777777778,0.820655,1071.16
1.68421,0.436842,27.77777777777778,0.844491,1077.39
1.68421,0.476316,27.77777777777778,0.864765,1083.71
1.68421,0.515789,27.77777777777778,0.882073,1090.11
1.68421,0.555263,27.77777777777778,0.896889,1096.59
1.68421,0.594737,27.77777777777778,0.909599,1103.13
1.68421,0.634211,27.77777777777778,0.920517,1109.73
1.68421,0.673684,27.77777777777778,0.929904,1116.38
1.68421,0.713158,27.77777777777778,0.937979,1123.09
1.68421,0.752632,27.77777777777778,0.944928,1129.84
1.68421,0.792105,27.77777777777778,0.950913,1136.64
1.68421,0.831579,27.77777777777778,0.956071,1143.47
1.68421,0.871053,27.77777777777778,0.960523,1150.34
1.68421,0.910526,27.77777777777778,0.964371,1157.24
1.68421,0.95,27.77777777777778,0.967705,1164.18
1.90526,0.2,27.77777777777778,0.637939,1069.66
1.90526,0.239474,27.77777777777778,0.698293,1074.95
1.90526,0.278947,27.77777777777778,0.747456,1080.37
1.90526,0.318421,27.77777777777778,0.787901,1085.91
1.90526,0.357895,27.77777777777778,0.82143,1091.55
1.90526,0.397368,27.77777777777778,0.849387,1097.3
1.90526,0.436842,27.77777777777778,0.872788,1103.15
1.90526,0.476316,27.77777777777778,0.892416,1109.08
1.90526,0.515789,27.77777777777778,0.908886,1115.09
1.90526,0.555263,27.77777777777778,0.92269,1121.18
1.90526,0.594737,27.77777777777778,0.934231,1127.34
1.90526,0.634211,27.77777777777778,0.943849,1133.56
1.90526,0.673684,27.77777777777778,0.951839,1139.84
1.90526,0.713158,27.77777777777778,0.958458,1146.16
1.90526,0.752632,27.77777777777778,0.963935,1152.54
1.90526,0.792105,27.77777777777778,0.968468,1158.96
1.90526,0.831579,27.77777777777778,0.972228,1165.42
1.90526,0.871053,27.77777777777778,0.975359,1171.91
1.90526,0.910526,27.77777777777778,0.977981,1178.44
1.90526,0.95,27.77777777777778,0.980188,1185.0
2.12632,0.2,27.77777777777778,0.664081,1095.09
2.12632,0.239474,27.77777777777778,0.725799,1100.02
2.12632,0.278947,27.77777777777778,0.775741,1105.07
2.12632,0.318421,27.77777777777778,0.816505,1110.25
2.12632,0.357895,27.77777777777778,0.849971,1115.54
2.12632,0.397368,27.77777777777778,0.87752,1120.93
2.12632,0.436842,27.77777777777778,0.900186,1126.42
2.12632,0.476316,27.77777777777778,0.918757,1132.0
2.12632,0.515789,27.77777777777778,0.93386,1137.67
2.12632,0.555263,27.77777777777778,0.946021,1143.41
2.12632,0.594737,27.77777777777778,0.955706,1149.22
2.12632,0.634211,27.77777777777778,0.963349,1155.1
2.12632,0.673684,27.77777777777778,0.969348,1161.04
2.12632,0.713158,27.77777777777778,0.974054,1167.02
2.12632,0.752632,27.77777777777778,0.977762,1173.06
2.12632,0.792105,27.77777777777778,0.980707,1179.14
2.12632,0.831579,27.77777777777778,0.983072,1185.26
2.12632,0.871053,27.77777777777778,0.984994,1191.42
2.12632,0.910526,27.77777777777778,0.986573,1197.61
2.12632,0.95,27.77777777777778,0.987888,1203.83
2.34737,0.2,27.77777777777778,0.690134,1118.19
2.34737,0.239474,27.77777777777778,0.753164,1122.78
2.34737,0.278947,27.77777777777778,0.803797,1127.51
2.34737,0.318421,27.77777777777778,0.844732,1132.36
2.34737,0.357895,27.77777777777778,0.877885,1137.32
2.34737,0.397368,27.77777777777778,0.90463,1142.39
2.34737,0.436842,27.77777777777778,0.925973,1147.56
2.34737,0.476316,27.77777777777778,0.942698,1152.83
2.34737,0.515789,27.77777777777778,0.955504,1158.18
2.34737,0.555263,27.77777777777778,0.96509,1163.61
2.34737,0.594737,27.77777777777778,0.972158,1169.12
2.34737,0.634211,27.77777777777778,0.977353,1174.68
2.34737,0.673684,27.77777777777778,0.981202,1180.31
2.34737,0.713158,27.77777777777778,0.984098,1185.99
2.34737,0.752632,27.77777777777778,0.986319,1191.72
2.34737,0.792105,27.77777777777778,0.988057,1197.5
2.34737,0.831579,27.77777777777778,0.989442,1203.31
2.34737,0.871053,27.77777777777778,0.990566,1209.16
2.34737,0.910526,27.77777777777778,0.991492,1215.05
2.34737,0.95,27.77777777777778,0.992266,1220.96
2.56842,0.2,27.77777777777778,0.716079,1139.26
2.56842,0.239474,27.77777777777778,0.780347,1143.55
2.56842,0.278947,27.77777777777778,0.831531,1147.97
2.56842,0.318421,27.77777777777778,0.872377,1152.52
2.56842,0.357895,27.77777777777778,0.904755,1157.19
2.56842,0.397368,27.77777777777778,0.929939,1161.97
2.56842,0.436842,27.77777777777778,0.948878,1166.85
2.56842,0.476316,27.77777777777778,0.962514,1171.83
2.56842,0.515789,27.77777777777778,0.971963,1176.9
2.56842,0.555263,27.77777777777778,0.978401,1182.06
2.56842,0.594737,27.77777777777778,0.982824,1187.28
2.56842,0.634211,27.77777777777778,0.985938,1192.57
2.56842,0.673684,27.77777777777778,0.988198,1197.92
2.56842,0.713158,27.77777777777778,0.98989,1203.32
